field.pose.position.x,field.pose.position.y,,,
-1.519374847,-31.72120667,,,
-1.589668632,-31.76633835,,,
-1.661254764,-31.79709435,,,
-1.761428952,-31.82419395,,,
-1.837064981,-31.88077164,,,
-1.896552682,-31.90492439,,,
-1.971678138,-31.92602539,,,
-2.049421549,-31.95372581,,,
-2.045133829,-31.97655487,,,
-2.216090679,-32.01072693,,,
-2.285984039,-32.04112244,,,
-2.315023899,-32.055336,,,
-2.399175644,-32.11531448,,,
-2.453527689,-32.13066101,,,
-2.544366598,-32.15671158,,,
-2.631089926,-32.17567825,,,
-2.683665991,-32.21562958,,,
-2.759789705,-32.23402405,,,
-2.838246107,-32.25741959,,,
-2.90848279,-32.27846909,,,
-2.980492353,-32.30512619,,,
-3.058682442,-32.31611252,,,
-3.143134832,-32.33418274,,,
-3.219420433,-32.36147308,,,
-3.28121233,-32.38331604,,,
-3.348964453,-32.40979004,,,
-3.4247365,-32.42593002,,,
-3.485206127,-32.44395447,,,
-3.572373867,-32.45944977,,,
-3.641825914,-32.47622681,,,
-3.703209639,-32.49519348,,,
-3.76537466,-32.51692581,,,
-3.854178905,-32.51384735,,,
-3.944043159,-32.5188942,,,
-4.022278786,-32.53617096,,,
-4.11142683,-32.55945969,,,
-4.217196465,-32.55321121,,,
-4.294951439,-32.56891251,,,
-4.362913132,-32.58228302,,,
-4.434098721,-32.59363174,,,
-4.513608456,-32.60293579,,,
-4.610128403,-32.61156082,,,
-4.680955887,-32.62968826,,,
-4.769544125,-32.63537979,,,
-4.850466251,-32.63797379,,,
-4.922097206,-32.63995743,,,
-5.004832745,-32.64978027,,,
-5.09403944,-32.6590004,,,
-5.174763203,-32.66892624,,,
-5.272008419,-32.67000198,,,
-5.328803539,-32.67016602,,,
-5.431164265,-32.67803574,,,
-5.52144146,-32.68191528,,,
-5.615686893,-32.67695236,,,
-5.709628105,-32.67023849,,,
-5.766830921,-32.69151688,,,
-5.868375301,-32.68818665,,,
-5.934684753,-32.68868256,,,
-6.017467022,-32.69260025,,,
-6.103257179,-32.68901825,,,
-6.189586163,-32.68179321,,,
-6.257936001,-32.68673706,,,
-6.327063084,-32.69256973,,,
-6.444871426,-32.68180466,,,
-6.515446186,-32.68325424,,,
-6.616817951,-32.67658997,,,
-6.691829681,-32.6672821,,,
-6.774868011,-32.66825485,,,
-6.860538006,-32.66768646,,,
-6.951229572,-32.66591644,,,
-7.031850815,-32.64092255,,,
-7.121307373,-32.64480209,,,
-7.188539982,-32.64695358,,,
-7.26014185,-32.64206314,,,
-7.346823215,-32.63274765,,,
-7.439012051,-32.62602615,,,
-7.534568787,-32.61769867,,,
-7.633454323,-32.6086235,,,
-7.700055122,-32.61610031,,,
-7.769786835,-32.59425735,,,
-7.888685703,-32.57713699,,,
-7.967357636,-32.56137466,,,
-8.068717003,-32.55503845,,,
-8.117738724,-32.5496521,,,
-8.217237473,-32.54428482,,,
-8.289048195,-32.52275467,,,
-8.388703346,-32.52149582,,,
-8.484648705,-32.51272583,,,
-8.570345879,-32.49913788,,,
-8.649819374,-32.48798752,,,
-8.735336304,-32.47234344,,,
-8.827746391,-32.4468689,,,
-8.933679581,-32.43569183,,,
-9.009813309,-32.41405487,,,
-9.090862274,-32.41854477,,,
-9.172698021,-32.41446686,,,
-9.252976418,-32.39365768,,,
-9.340074539,-32.37030792,,,
-9.427707672,-32.36171341,,,
-9.504297256,-32.35368347,,,
-9.599746704,-32.33790207,,,
-9.695631027,-32.32337952,,,
-9.768510818,-32.30870438,,,
