field.pose.position.x,field.pose.position.y,,,,
1.393334985,-9.791365623,,,,
1.42159009,-9.790930748,,,,
1.408351183,-9.878621101,,,,
1.406895995,-9.978700638,,,,
1.385134101,-10.03572559,,,,
1.398597598,-10.06930065,,,,
1.394410014,-10.0801487,,,,
1.393720269,-10.11727524,,,,
1.374170303,-10.18093491,,,,
1.374384284,-10.24714184,,,,
1.368590236,-10.34257984,,,,
1.375391603,-10.42139244,,,,
1.368089318,-10.51351166,,,,
1.352988958,-10.60053253,,,,
1.340406775,-10.67883873,,,,
1.299984455,-10.74103737,,,,
1.317860365,-10.82972145,,,,
1.307001352,-10.9057703,,,,
1.318353534,-10.99333668,,,,
1.307302713,-11.07134247,,,,
1.301720977,-11.154562,,,,
1.285108924,-11.24366665,,,,
1.31174624,-11.31805801,,,,
1.304434299,-11.41228104,,,,
1.28876996,-11.48500729,,,,
1.289998651,-11.59119129,,,,
1.281955123,-11.66251469,,,,
1.293760061,-11.73784161,,,,
1.276133657,-11.81121159,,,,
1.296412349,-11.9149971,,,,
1.303331137,-11.98600197,,,,
1.284001946,-12.08542061,,,,
1.293874621,-12.18563557,,,,
1.299928427,-12.26467991,,,,
1.286697507,-12.33775997,,,,
1.290547967,-12.41617393,,,,
1.291859031,-12.49687481,,,,
1.300860763,-12.57499504,,,,
1.299679875,-12.63287258,,,,
1.297429204,-12.71351814,,,,
1.30076468,-12.81074142,,,,
1.310475469,-12.90246582,,,,
1.319920421,-12.9939661,,,,
1.308212876,-13.07717419,,,,
1.322534084,-13.15018559,,,,
1.33233726,-13.23470402,,,,
1.338796616,-13.31289005,,,,
1.350655079,-13.39275932,,,,
1.356438041,-13.48746777,,,,
1.357471943,-13.57578182,,,,
1.355054975,-13.66031742,,,,
1.368167877,-13.72480297,,,,
1.369161606,-13.79488564,,,,
1.381994367,-13.87501526,,,,
1.390994191,-13.96615505,,,,
1.39567399,-14.04497337,,,,
1.402032137,-14.14558315,,,,
1.405340672,-14.2196722,,,,
1.402025938,-14.32112885,,,,
1.419126391,-14.40825462,,,,
1.422211409,-14.49487495,,,,
1.433742881,-14.57632446,,,,
